,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
271,Venustiano Carranza,5,MX,1542430320,58,19.42,-99.11,57.2,3.36
272,New Plymouth,64,NZ,1542432064,86,-39.06,174.08,61.46,8.19
273,Hami,8,CN,1542431788,61,42.84,93.51,28.52,5.61
274,Carlisle,32,GB,1542430200,93,54.89,-2.94,39.2,9.17
275,Sola,0,NO,1542430200,93,58.89,5.65,44.6,2.24
276,Sheregesh,56,RU,1542432065,73,52.93,87.98,16.46,3.38
277,Mandali,0,IQ,1542432065,98,33.75,45.55,60.11,3.6
278,Kaitangata,100,NZ,1542432065,99,-46.28,169.85,54.89,6.29
279,Lagoa,40,PT,1542429000,88,37.14,-8.45,62.6,11.41
280,Konibodom,24,TJ,1542429000,60,40.3,70.43,42.8,17.9
281,Sibolga,32,ID,1542432066,83,1.74,98.78,79.1,2.59
282,Turtas,80,RU,1542432066,88,58.94,69.13,21.14,3.6
283,Chernushka,80,RU,1542432066,86,56.5,56.08,26.72,8.41
284,Sainte-Rose,90,CA,1542430500,86,45.61,-73.79,28.4,9.17
285,Juneau,90,US,1542430560,100,58.3,-134.42,37.04,3.6
286,Penzance,0,GB,1542430200,93,50.12,-5.53,53.6,26.4
287,San Quintin,75,PH,1542427200,70,17.54,120.52,86.0,6.93
288,Dinajpur,0,BD,1542432067,53,25.63,88.63,81.44,6.62
289,Cururupu,92,BR,1542432067,78,-1.82,-44.87,80.05,8.3
290,Terney,8,RU,1542432068,100,45.05,136.61,32.12,14.56
291,Iquique,20,CL,1542430800,77,-20.22,-70.14,64.4,3.38
292,Bajos de Haina,40,DO,1542430800,94,18.41,-70.03,75.2,2.04
293,Salisbury,90,GB,1542430560,100,51.07,-1.8,48.2,11.41
294,Norsup,0,VU,1542432068,78,-16.07,167.38,81.13,7.29
295,Ust-Kut,48,RU,1542432068,38,56.78,105.75,1.61,6.29
296,Lata,0,IN,1542432069,67,30.78,78.62,51.47,1.92
297,Streator,90,US,1542430500,98,41.12,-88.84,35.06,4.61
298,Pumiao,90,CN,1542427200,82,22.75,108.49,66.2,6.71
299,Zamboanga,20,PH,1542427200,66,6.91,122.07,87.8,6.93
300,Linjiang,48,CN,1542432070,53,41.81,126.91,31.58,4.16
301,Iquitos,75,PE,1542430800,94,-3.75,-73.25,75.2,3.36
302,Fort Saint James,0,CA,1542432070,100,54.43,-124.25,14.8,2.59
303,Assiniboia,24,CA,1542432070,78,49.63,-105.99,-1.99,2.93
304,Panjab,80,AF,1542432070,79,34.38,67.02,34.19,2.37
305,Boa Vista,0,BR,1542427200,69,2.82,-60.67,82.4,10.29
306,Sao Felix do Xingu,8,BR,1542432071,100,-6.64,-51.99,73.07,2.15
307,Chipata,0,ZM,1542432071,52,-13.64,32.65,79.37,11.43
308,Arraial do Cabo,92,BR,1542431910,96,-22.97,-42.02,72.35,11.43
309,Pemba,75,MZ,1542427200,94,-12.97,40.52,78.8,4.72
310,Hambantota,12,LK,1542432072,100,6.12,81.12,83.15,1.48
311,Coruripe,92,BR,1542432072,99,-10.12,-36.18,78.52,13.89
312,Antofagasta,40,CL,1542430800,82,-23.65,-70.4,59.0,1.12
313,Ahipara,88,NZ,1542432073,77,-35.17,173.16,62.81,3.71
314,Novikovo,44,UA,1542432073,100,45.05,34.56,38.69,5.17
315,Bahia Blanca,92,AR,1542431793,100,-38.72,-62.27,60.7,13.11
316,Haines Junction,68,CA,1542432073,92,60.75,-137.51,8.05,2.37
317,Nyurba,32,RU,1542432073,66,63.29,118.35,2.65,4.27
318,Viytivka,92,UA,1542432073,90,48.43,29.54,28.25,10.31
319,Jaciara,44,BR,1542432074,96,-15.95,-54.98,72.58,2.93
320,Haputale,56,LK,1542432074,86,6.77,80.96,79.73,1.92
321,Port Hedland,0,AU,1542430800,21,-20.31,118.58,104.0,16.11
322,Qeshm,75,IR,1542429000,78,26.96,56.27,75.2,4.7
323,Saint-Philippe,90,CA,1542430500,86,45.36,-73.48,29.66,9.17
324,Dukhovnitskoye,0,RU,1542432075,100,52.48,48.21,15.25,2.71
325,Hualmay,48,PE,1542432075,97,-11.1,-77.61,57.28,5.61
326,San Rafael,0,AR,1542432076,23,-34.61,-68.33,65.38,19.82
327,The Pas,1,CA,1542427200,70,53.82,-101.24,1.4,10.29
328,Ternate,75,PH,1542427200,55,14.29,120.72,87.8,8.05
329,Rochester,90,US,1542431760,92,44.02,-92.46,30.2,9.17
330,Christchurch,12,NZ,1542430800,72,-43.53,172.64,60.8,9.17
331,Rauma,8,FI,1542430200,100,61.13,21.5,41.0,5.82
332,Pisco,48,PE,1542430800,87,-13.71,-76.2,60.8,3.36
333,Kazachinskoye,64,RU,1542432077,78,57.69,93.28,4.67,6.62
334,Beaverlodge,20,CA,1542427200,76,55.21,-119.43,-7.61,6.93
335,Yining,88,CN,1542432077,89,29.04,114.56,55.88,3.38
336,Chichibu,1,JP,1542430560,33,35.99,139.07,68.0,17.22
337,Padang,12,ID,1542432078,100,-0.92,100.36,82.34,6.51
338,Carutapera,80,BR,1542432078,82,-1.2,-46.02,80.32,9.64
339,San Patricio,44,PY,1542432078,72,-26.98,-56.83,71.77,4.94
340,Yulara,90,AU,1542430800,28,-25.24,130.99,82.4,13.87
341,Cherskiy,24,RU,1542432079,77,68.75,161.3,-17.65,4.38
342,Yeppoon,44,AU,1542430800,29,-23.13,150.74,91.4,10.29
343,Matagami,24,NG,1542432079,70,9.67,8.4,61.91,3.71
344,Talakan,0,RU,1542432079,52,50.29,130.28,13.31,5.84
345,Ranong,40,TH,1542427200,66,9.96,98.62,89.6,6.93
346,Benghazi,0,LY,1542432080,100,32.12,20.07,70.6,30.0
347,Nishihara,1,JP,1542430560,33,35.74,139.53,68.0,17.22
348,Balkanabat,0,TM,1542432080,70,39.51,54.36,43.55,3.71
349,Laguna,88,MX,1542432080,69,27.52,-110.01,58.94,2.26
350,Makakilo City,90,US,1542430620,81,21.35,-158.09,77.0,4.7
351,Progreso,0,UY,1542430800,76,-34.68,-56.22,55.4,5.82
352,Denpasar,20,ID,1542429000,79,-8.65,115.22,86.0,10.29
353,Staryy Nadym,80,RU,1542432081,91,65.61,72.68,15.65,12.21
354,Dudinka,80,RU,1542432081,83,69.41,86.18,5.66,26.64
355,Itarema,76,BR,1542432081,89,-2.92,-39.92,76.27,11.43
356,Sembakung,88,ID,1542432082,98,3.82,117.25,77.48,2.82
357,Carndonagh,68,IE,1542432082,91,55.25,-7.27,52.78,18.25
358,College,90,US,1542430680,87,64.86,-147.8,15.44,3.71
359,Kendari,24,ID,1542432082,85,-3.99,122.52,86.48,3.15
360,Algeciras,80,ES,1542430800,93,36.13,-5.45,62.6,13.87
361,Iralaya,100,HN,1542432083,100,15.0,-83.23,77.03,7.63
362,Faya,40,SA,1542427200,66,18.39,42.45,59.0,3.38
363,Virginia Beach,1,US,1542430440,82,36.85,-75.98,43.16,4.7
364,Zabaykalsk,24,CN,1542432083,55,49.64,117.33,22.45,8.63
365,Fukuma,75,JP,1542429000,48,33.77,130.47,64.4,6.93
366,Ardakan,0,IR,1542429000,76,32.31,54.02,50.0,4.7
367,Yanam,36,IN,1542432084,81,16.73,82.22,85.13,7.4
368,Guymon,1,US,1542430560,59,36.68,-101.48,47.3,9.17
369,Isangel,12,VU,1542432084,100,-19.55,169.27,75.5,13.0
370,Iskateley,92,RU,1542432084,90,67.68,53.15,33.65,3.83
371,Kozhva,64,RU,1542432084,100,65.11,57.05,32.75,5.17
372,Cabedelo,48,BR,1542432084,96,-6.97,-34.84,78.52,8.52
373,Barentu,0,ER,1542432085,69,15.11,37.59,71.05,4.16
374,Cortes,76,PH,1542432085,82,9.28,126.19,80.63,3.83
375,Necochea,92,AR,1542432085,90,-38.55,-58.74,53.32,16.91
376,East London,20,ZA,1542427200,77,-33.02,27.91,66.2,11.41
377,Constitucion,0,MX,1542432086,64,23.99,-104.67,36.8,6.17
378,Kununurra,40,AU,1542430800,34,-15.77,128.74,96.8,6.93
379,Buala,8,SB,1542432086,84,-8.15,159.59,84.77,4.72
380,Kayerkan,80,RU,1542432086,78,69.35,87.76,4.76,26.31
381,Traverse City,90,US,1542431700,60,44.76,-85.62,33.98,12.75
382,Mehamn,92,NO,1542432086,93,71.03,27.85,40.49,15.01
383,Nampa,90,US,1542430560,45,43.57,-116.56,46.4,9.17
384,Ilo,64,PE,1542432087,100,-17.65,-71.34,56.51,2.71
385,Seydi,12,NE,1542432087,53,13.34,7.75,59.8,3.71
386,Hun,0,BE,1542430500,86,50.34,4.87,35.6,3.36
387,Enid,1,US,1542429300,86,36.4,-97.88,46.4,6.93
388,Dahanu,0,IN,1542432088,76,19.97,72.73,88.55,8.08
389,Mugla,0,BG,1542430800,74,41.62,24.49,37.4,8.05
390,Bell Ville,0,AR,1542432088,55,-32.63,-62.69,73.03,13.22
391,Aykhal,56,RU,1542432088,64,65.95,111.51,-9.24,3.94
392,Sai Buri,75,TH,1542427200,74,6.7,101.62,86.0,5.82
393,Soyo,92,AO,1542432088,93,-6.13,12.37,76.18,1.7
394,Pundaguitan,8,PH,1542432089,93,6.37,126.17,85.58,3.94
395,Kalat,48,PK,1542432089,62,29.03,66.58,58.18,10.2
396,Tambovka,92,UA,1542432089,90,46.93,35.45,34.1,12.77
397,Darfield,12,NZ,1542430800,72,-43.49,172.11,60.8,9.17
398,Sao Joao da Barra,92,BR,1542431901,100,-21.64,-41.05,72.89,11.99
399,Mildura,0,AU,1542432089,32,-34.18,142.16,77.03,12.66
400,Gympie,48,AU,1542432090,63,-26.2,152.66,78.02,3.15
401,Bud,88,NO,1542430200,93,62.91,6.91,48.2,2.24
402,Adolfo Lopez Mateos,24,MX,1542432090,69,26.8,-109.39,57.95,0.47
403,Mount Gambier,0,AU,1542432090,55,-37.83,140.78,68.17,6.4
404,Mayya,40,RU,1542429000,83,61.74,130.28,-5.81,2.24
405,Cap Malheureux,40,MU,1542427200,65,-19.98,57.61,78.8,10.29
406,San Andres,12,PH,1542432091,99,13.32,122.68,83.47,6.62
407,Sioux Lookout,90,CA,1542428460,72,50.1,-91.92,10.4,6.93
408,Villa Carlos Paz,0,AR,1542430800,77,-31.42,-64.5,66.2,8.05
409,Ucluelet,0,CA,1542432092,100,48.94,-125.55,34.87,1.92
410,Ahuimanu,75,US,1542430620,87,21.44,-157.84,77.0,12.75
411,Sangar,12,RU,1542432092,61,63.92,127.47,-13.42,2.71
412,Beaupre,88,CA,1542429480,92,47.04,-70.9,21.2,4.38
413,Brae,0,GB,1542430200,93,60.4,-1.35,50.0,6.93
414,Karratha,8,AU,1542432093,11,-20.74,116.85,110.02,6.73
415,Lebane,0,RS,1542430800,68,42.92,21.74,33.8,2.26
416,Altay,20,CN,1542432093,81,47.83,88.13,10.52,2.15
417,Comodoro Rivadavia,0,AR,1542430800,81,-45.87,-67.48,55.4,6.93
418,Tripoli,90,GR,1542430200,81,37.51,22.37,50.0,9.17
419,Hofn,92,IS,1542432094,90,64.25,-15.21,47.92,21.83
420,Polunochnoye,64,RU,1542432094,85,60.87,60.43,31.18,5.39
421,Richards Bay,80,ZA,1542432094,79,-28.77,32.06,76.49,13.22
422,Zeerust,0,ZA,1542427200,32,-25.54,26.07,69.8,3.36
423,Narsaq,88,GL,1542430200,68,60.91,-46.05,30.2,1.36
424,Byron Bay,92,AU,1542430800,61,-28.65,153.62,78.8,12.75
425,Nerchinskiy Zavod,24,RU,1542432095,59,51.31,119.61,17.36,3.83
426,Ixtapa,75,MX,1542429900,77,20.71,-105.21,69.8,4.7
427,Kavarskas,64,LT,1542432095,96,55.43,24.93,23.66,3.6
428,Espanola,32,CA,1542432095,95,46.27,-81.77,29.47,7.4
429,Kautokeino,20,NO,1542432096,79,69.01,23.04,38.51,19.15
430,Yendi,12,GH,1542432096,85,9.45,0.0,72.44,7.29
431,Sechura,20,PE,1542432096,93,-5.56,-80.82,66.95,10.65
432,Soe,92,EE,1542430200,100,57.91,26.05,35.6,14.99
433,Kitimat,40,CA,1542427200,100,54.02,-128.69,35.6,14.99
434,Saumur,90,FR,1542430800,100,47.26,-0.08,42.8,8.05
435,Minas,0,UY,1542430800,93,-34.38,-55.24,53.6,4.7
436,Vao,92,EE,1542432097,95,59.1,26.19,43.82,12.21
437,Jashpurnagar,0,IN,1542432097,57,22.88,84.14,80.95,4.16
438,Broome,0,GB,1542431460,93,52.47,1.45,46.4,3.36
439,Moron,92,VE,1542432098,97,10.49,-68.2,71.23,1.7
440,Sisimiut,20,GL,1542432098,100,66.94,-53.67,0.44,2.93
441,Dakar,64,SN,1542427200,88,14.69,-17.45,71.6,11.41
442,Gazanjyk,48,TM,1542432098,82,39.24,55.52,44.27,4.05
443,Hervey Bay,32,AU,1542431864,84,-25.3,152.85,78.74,5.95
444,Manjacaze,0,MZ,1542432098,49,-24.71,33.88,83.6,10.09
445,Wellin,0,BE,1542430500,86,50.08,5.11,35.6,3.36
446,Ambanja,40,MG,1542427200,94,-13.68,48.45,78.8,2.24
447,Fukue,20,JP,1542429000,55,35.03,136.69,66.2,12.75
448,Sainte-Marie,88,CA,1542429480,92,46.45,-71.03,21.2,3.94
449,Lucapa,68,AO,1542432099,96,-8.42,20.74,71.09,3.94
450,Airai,44,TL,1542432100,92,-8.93,125.41,76.9,1.59
451,Birao,0,CF,1542432100,33,10.3,22.78,68.35,12.55
452,Emporia,1,US,1542430380,75,38.4,-96.18,42.08,8.05
453,Batagay-Alyta,0,RU,1542431909,0,67.8,130.41,-35.43,2.59
454,Kenai,1,US,1542430560,89,60.55,-151.26,35.96,21.92
455,Moree,0,AU,1542432100,33,-29.46,149.84,87.25,7.74
456,Vila Velha,40,BR,1542427200,78,-3.71,-38.6,80.6,13.87
457,Villarrica,88,CL,1542432101,100,-39.28,-72.23,40.4,2.48
458,Pitmedden,90,GB,1542430200,81,57.34,-2.18,48.2,11.41
459,Srednekolymsk,68,RU,1542432101,66,67.46,153.71,-14.64,2.93
460,Gizo,20,IL,1542430200,87,31.8,34.94,59.0,2.24
461,Thurso,0,GB,1542430200,87,58.6,-3.52,48.2,25.28
462,Gigmoto,48,PH,1542432102,100,13.78,124.39,79.55,4.16
463,Kieta,64,PG,1542432102,100,-6.22,155.63,78.74,3.15
464,Nurota,64,UZ,1542429000,56,40.56,65.69,42.8,2.24
465,Providencia,88,CO,1542432103,96,1.24,-77.6,55.34,1.7
466,Nan,20,TH,1542427200,55,18.78,100.78,87.8,2.24
467,Kuching,75,MY,1542429000,83,1.56,110.34,82.4,4.7
468,Zhezkazgan,0,KZ,1542432103,85,47.8,67.71,16.37,4.16
469,Ustye,92,RU,1542432104,95,58.76,27.79,40.76,16.02
470,Tokur,80,RU,1542432104,56,53.13,132.9,4.58,6.06
471,Kapuskasing,90,CA,1542429240,85,49.42,-82.43,21.2,24.16
472,Lake City,1,US,1542430560,56,38.03,-107.32,32.0,6.93
473,Tucuman,36,PE,1542431870,66,-17.17,-70.89,48.41,2.26
474,Husavik,8,CA,1542432105,87,50.56,-96.99,11.96,14.23
475,Bama,100,CN,1542432105,100,24.14,107.25,60.92,3.6
476,Takab,44,IR,1542432105,91,36.4,47.11,35.5,2.59
477,Kudahuvadhoo,76,MV,1542432105,100,2.67,72.89,78.88,8.86
478,Rocha,0,UY,1542432106,82,-34.48,-54.34,56.92,12.44
479,Swellendam,0,ZA,1542427200,63,-34.02,20.44,60.8,5.82
480,Wanning,0,AT,1542428400,68,48.64,13.53,33.8,12.75
481,Buraydah,20,SA,1542427200,93,26.33,43.97,53.6,2.24
482,Severo-Kurilsk,88,RU,1542432106,100,50.68,156.12,40.0,14.0
483,Loanda,8,BR,1542432107,74,-22.93,-53.14,75.37,17.47
484,Nome,1,US,1542430380,83,30.04,-94.42,48.92,3.71
485,Presidencia Roque Saenz Pena,68,AR,1542431845,63,-26.79,-60.44,74.51,5.39
486,Abu Samrah,88,SY,1542432107,95,35.3,37.18,44.81,4.61
487,Libertador General San Martin,75,AR,1542430800,88,-23.81,-64.79,68.0,4.7
488,Coquimbo,0,CL,1542430800,93,-29.95,-71.34,55.4,5.82
489,Port Blair,44,IN,1542432108,94,11.67,92.75,85.85,11.32
490,Newport,90,GB,1542430200,100,51.59,-3.0,48.2,13.87
491,Sept-Iles,90,CA,1542430020,85,50.2,-66.38,23.0,6.93
492,Lahat,0,ID,1542432109,86,-3.78,103.55,90.26,5.17
493,Williamsport,90,US,1542426840,78,41.25,-77.0,37.04,5.82
494,Tarko-Sale,88,RU,1542432109,86,64.92,77.78,8.99,12.44
495,Tuatapere,48,NZ,1542432110,100,-46.13,167.69,48.73,12.77
496,Saint-Francois,90,FR,1542430800,93,46.42,3.91,41.0,6.93
497,Wichian Buri,8,TH,1542432110,65,15.66,101.11,89.95,4.16
498,Goderich,92,CA,1542432110,91,43.74,-81.71,38.24,16.24
499,Sabang,44,PH,1542432110,100,13.72,123.58,77.93,3.38
500,Volovo,0,RU,1542432111,59,53.55,38.01,5.3,2.71
501,Caravelas,88,BR,1542431869,100,-17.73,-39.27,77.98,14.23
502,Kirakira,8,SB,1542432111,100,-10.46,161.92,82.75,10.76
503,Kathu,0,ZA,1542432111,22,-27.7,23.05,75.95,12.44
504,Mareeba,20,AU,1542430800,43,-16.99,145.42,87.8,17.22
505,Smoky Lake,0,CA,1542432112,67,54.11,-112.47,-1.81,9.19
506,Macae,80,BR,1542432112,99,-22.37,-41.79,65.96,5.84
507,Lokosovo,68,RU,1542432112,85,61.13,74.84,9.53,7.4
508,Sorong,76,ID,1542432112,100,-0.86,131.25,78.65,7.4
509,Paracatu,92,BR,1542432113,99,-17.22,-46.87,69.07,6.62
510,Batemans Bay,92,AU,1542432113,100,-35.71,150.18,57.59,5.95
511,Laramie,90,US,1542430380,74,41.31,-105.59,32.0,10.29
512,Axim,0,GH,1542432113,100,4.87,-2.24,81.67,8.19
513,Gidole,88,ET,1542432113,98,5.65,37.37,65.38,3.15
514,Kavieng,64,PG,1542432114,100,-2.57,150.8,80.63,4.94
515,Big Spring,1,US,1542429300,49,32.25,-101.48,51.08,10.29
516,Bathsheba,40,BB,1542430800,83,13.22,-59.52,80.6,18.34
517,Kruisfontein,64,ZA,1542432114,82,-34.0,24.73,63.58,19.48
518,Eureka,1,US,1542430500,95,40.8,-124.16,42.8,1.59
519,Grand Gaube,40,MU,1542427200,65,-20.01,57.66,78.8,10.29
520,Santa Cruz Cabralia,20,BR,1542427200,83,-16.28,-39.02,78.8,10.29
521,Pangnirtung,8,CA,1542432115,100,66.15,-65.72,0.8,11.21
522,Tautira,75,PF,1542430800,83,-17.73,-149.15,80.6,4.7
523,Oranjemund,8,ZA,1542432116,98,-28.55,16.43,60.11,25.3
524,Bognor Regis,75,GB,1542430200,100,50.78,-0.67,44.6,9.17
525,Kroya,8,ID,1542432116,74,-6.5,108.06,87.38,4.27
526,Wagar,0,US,1542432116,81,31.44,-87.99,34.33,2.37
527,Sterlibashevo,56,RU,1542432116,68,53.44,55.26,17.63,10.65
528,Tessalit,0,ML,1542432117,44,20.2,1.01,60.07,7.96
529,Rexburg,90,US,1542430740,88,43.82,-111.79,33.98,6.93
530,Adre,12,TD,1542432117,30,13.47,22.2,65.92,12.55
531,Camopi,24,GF,1542432117,96,3.17,-52.33,73.43,2.37
532,Dunedin,92,NZ,1542432069,99,-45.87,170.5,55.34,2.71
533,Macapa,12,BR,1542432117,91,0.05,-51.07,79.37,7.74
534,Lyngseidet,75,NO,1542430200,87,69.58,20.21,42.8,44.96
535,Dingle,0,PH,1542432118,63,11.0,122.67,87.47,12.66
536,Namatanai,32,PG,1542432118,100,-3.66,152.44,82.16,6.4
537,Sokoto,0,NG,1542432118,60,13.06,5.24,59.93,4.05
538,Lake Havasu City,1,US,1542430560,17,34.47,-114.34,60.8,1.7
539,Newark,40,US,1542430500,72,40.74,-74.17,39.92,3.36
540,Rio Brilhante,20,BR,1542432119,88,-21.8,-54.54,74.96,13.89
541,Paredon,92,BO,1542432119,85,-18.93,-65.16,51.11,2.48
